time,max,99th,95th,med
4524620,12,12,12,7
4524626,12,12,12,7
4738023,12,12,12,7
4751188,12,12,12,7
4760845,12,12,12,7
4760855,12,12,12,7
4760861,12,12,12,7
4760871,12,12,12,7
4760876,12,12,12,7
4760908,12,12,12,7
4774861,12,12,12,7
4869521,12,12,12,7
4869525,12,12,12,7
4869530,12,12,12,7
4869535,12,12,12,7
4869540,12,12,12,7
4869543,12,12,12,7
4869549,12,12,12,7
4869959,12,12,12,7
4869963,12,12,12,7
4869966,12,12,12,7
4869970,12,12,12,7
4869973,12,12,12,7
4869978,12,12,12,7
4869981,12,12,12,7
4869985,12,12,12,7
4869989,12,12,12,7
4869992,12,12,12,7
4869996,12,12,12,7
4871823,12,12,12,7
4871827,12,12,12,7
4871935,12,12,12,7
4908455,12,12,12,7
4925426,12,12,12,7
4925447,12,12,12,7
4925477,12,12,12,7
5020124,12,12,12,7
5051663,12,12,12,7
5058418,12,12,12,7
5128131,12,12,12,7
5212828,12,12,12,7
5212903,12,12,12,7
5212918,12,12,12,7
5212922,12,12,12,7
5449531,12,12,12,7
5451075,12,12,12,7
5487842,12,12,12,7
5557577,12,12,12,7
5560622,12,12,12,7
5560635,12,12,12,7
5560636,12,12,12,7
5560640,12,12,12,7
5560655,12,12,12,7
5560659,12,12,12,7
5564794,12,12,12,7
5564802,12,12,12,7
5564813,12,12,12,7
5564814,12,12,12,7
5564815,12,12,12,7
5564816,12,12,12,7
5564821,12,12,12,7
5564833,12,12,12,7
5564836,12,12,12,7
5564838,12,12,12,7
5564840,12,12,12,7
5613406,12,12,12,7
5640885,12,12,12,7
5640886,12,12,12,7
5640888,12,12,12,7
5640904,12,12,12,7
5640921,12,12,12,7
5640943,12,12,12,7
5640945,12,12,12,7
5641064,12,12,12,7
5641071,12,12,12,7
5641074,12,12,12,7
5641080,12,12,12,7
5641096,12,12,12,7
5641113,12,12,12,7
5641116,12,12,12,7
5654150,12,12,12,7
5654154,12,12,12,7
5654159,12,12,12,7
5654163,12,12,12,7
5654167,12,12,12,7
5654174,12,12,12,7
5654178,12,12,12,7
5654182,12,12,12,7
5930356,12,12,12,7
6032585,12,12,12,7
6032613,12,12,12,7
6032619,12,12,12,7
6032624,12,12,12,7
6032629,12,12,12,7
6032634,12,12,12,7
6032640,12,12,12,7
6032653,12,12,12,7
6032659,12,12,12,7
6032665,12,12,12,7
6032670,12,12,12,7
6042226,12,12,12,7
6077631,12,12,12,7
6077643,12,12,12,7
6243278,12,12,12,7
6243288,12,12,12,7
6243298,12,12,12,7
6243319,12,12,12,7
6243329,12,12,12,7
6243350,12,12,12,7
6243360,12,12,12,7
6243370,12,12,12,7
6243393,12,12,12,7
6243404,12,12,12,7
6243415,12,12,12,7
6243426,12,12,12,7
6243436,12,12,12,7
6243446,12,12,12,7
6243469,12,12,12,7
6243502,12,12,12,7
6243513,12,12,12,7
6243525,12,12,12,7
6243535,12,12,12,7
6243545,12,12,12,7
6243565,12,12,12,7
6243576,12,12,12,7
6243588,12,12,12,7
6243598,12,12,12,7
6243609,12,12,12,7
6243620,12,12,12,7
6243632,12,12,12,7
6243644,12,12,12,7
6243657,12,12,12,7
6243683,12,12,12,7
6243703,12,12,12,7
6243713,12,12,12,7
6243723,12,12,12,7
6243734,12,12,12,7
6243744,12,12,12,7
6243756,12,12,12,7
6243767,12,12,12,7
6243778,12,12,12,7
6243789,12,12,12,7
6243812,12,12,12,7
6243823,12,12,12,7
6243835,12,12,12,7
6243849,12,12,12,7
6243861,12,12,12,7
6243872,12,12,12,7
6243883,12,12,12,7
6243906,12,12,12,7
6243915,12,12,12,7
6243924,12,12,12,7
6243936,12,12,12,7
6243946,12,12,12,7
6243966,12,12,12,7
6243986,12,12,12,7
6243996,12,12,12,7
6244006,12,12,12,7
6244017,12,12,12,7
6244027,12,12,12,7
6244037,12,12,12,7
6244057,12,12,12,7
6244067,12,12,12,7
6244077,12,12,12,7
6244087,12,12,12,7
6244096,12,12,12,7
6244107,12,12,12,7
6244118,12,12,12,7
6244129,12,12,12,7
6244139,12,12,12,7
6244148,12,12,12,7
6244159,12,12,12,7
6244190,12,12,12,7
6244210,12,12,12,7
6244220,12,12,12,7
6244240,12,12,12,7
6244249,12,12,12,7
6244268,12,12,12,7
6244298,12,12,12,7
6244319,12,12,12,7
6244328,12,12,12,7
6244347,12,12,12,7
6244357,12,12,12,7
6312164,12,12,12,7
6326863,12,12,12,7
6449060,12,12,12,7
6511338,12,12,12,7
6511344,12,12,12,7
6554295,12,12,12,7
6598854,12,12,12,7
6665528,12,12,12,7
6691429,12,12,12,7
6691705,12,12,12,7
6691730,12,12,12,7
6691785,12,12,12,7
6691799,12,12,12,7
6691803,12,12,12,7
6713049,12,12,12,7
6717034,12,12,12,7
6820854,12,12,12,12
6887365,12,12,12,12
7184850,12,12,12,12
7184871,12,12,12,12
7184875,12,12,12,12
