time,max,99th,95th,med
4301714,49.2,49.2,49.2,12.0
4308484,49.2,49.2,49.2,12.0
4343650,49.2,49.2,12.0,7.0
4343676,49.2,49.2,12.0,7.0
4343680,49.2,49.2,12.0,7.0
4344485,49.2,49.2,12.0,7.0
4345096,49.2,49.2,12.0,7.0
4348460,49.2,49.2,49.2,7.0
4348474,49.2,49.2,49.2,7.0
4349283,49.2,49.2,49.2,7.0
4349687,49.2,49.2,49.2,7.0
4350094,49.2,49.2,49.2,7.0
4351847,49.2,49.2,49.2,7.0
4352574,49.2,49.2,49.2,7.0
4382023,49.2,49.2,12.0,7.0
4387854,49.2,49.2,12.0,7.0
4387864,49.2,49.2,12.0,7.0
4388677,49.2,49.2,12.0,7.0
4389490,49.2,49.2,12.0,7.0
4389538,49.2,49.2,12.0,7.0
4390097,49.2,49.2,12.0,7.0
4390118,49.2,49.2,12.0,7.0
4390926,49.2,49.2,12.0,7.0
4391537,49.2,49.2,12.0,7.0
4419285,12.0,12.0,12.0,7.0
4424895,12.0,12.0,12.0,7.0
4428784,12.0,12.0,12.0,7.0
4431720,12.0,12.0,12.0,7.0
4442264,12.0,12.0,12.0,7.0
4442540,12.0,12.0,12.0,7.0
4442544,12.0,12.0,12.0,7.0
4442549,12.0,12.0,12.0,7.0
4442557,12.0,12.0,12.0,7.0
4442561,12.0,12.0,12.0,7.0
4442565,12.0,12.0,12.0,7.0
4442568,12.0,12.0,12.0,7.0
4442572,12.0,12.0,12.0,7.0
4443293,12.0,12.0,12.0,7.0
4443298,12.0,12.0,12.0,7.0
4443921,12.0,12.0,12.0,7.0
4444577,12.0,12.0,12.0,7.0
4472164,12.0,12.0,7.0,7.0
4472838,12.0,12.0,12.0,7.0
4491868,49.2,49.2,12.0,7.0
4491980,49.2,49.2,12.0,7.0
4491981,49.2,49.2,12.0,7.0
4491989,49.2,49.2,12.0,7.0
4491994,49.2,49.2,12.0,7.0
4491995,49.2,49.2,12.0,7.0
4492004,49.2,49.2,12.0,7.0
4492011,49.2,49.2,12.0,7.0
4492019,12.0,12.0,12.0,7.0
4492021,12.0,12.0,12.0,7.0
4492824,49.2,49.2,12.0,7.0
