time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
3149127,697,1,3027713,3027713,3149127,121414,121414,59701,61713,19,760,0
3149562,692,1,3027697,3027697,3149562,121865,121865,61676,60189,17,680,0
3150722,711,1,3027739,3027739,3150722,122983,122983,61296,61687,17,680,0
3169693,787,1,3028016,3028016,3169693,141677,141677,66879,74798,6,120,0
3171421,756,1,3027935,3027935,3171421,143486,143486,63517,79969,11,440,0
3175012,782,1,3028004,3028004,3175012,147008,147008,72198,74810,6,300,0
3193964,848,1,3028452,3028452,3193964,165512,165512,92649,72863,5,300,0
3196201,838,1,3028126,3028126,3196201,168075,168075,79205,88870,14,700,0
3199876,834,1,3028117,3028117,3199876,171759,171759,82880,88879,15,900,0
3200777,749,1,3027919,3027919,3200777,172858,172858,87573,85285,13,390,0
3202406,835,1,3028120,3028120,3202406,174286,174286,85410,88876,16,800,0
3211488,775,1,3027988,3027988,3211488,183500,183500,93306,90194,6,120,0
3212928,759,1,3027943,3027943,3212928,184985,184985,101349,83636,10,300,0
3213064,777,1,3027992,3027992,3213064,185072,185072,94878,90194,6,240,0
3226808,755,1,3027931,3027931,3226808,198877,198877,115229,83648,11,440,0
3229404,757,1,3027937,3027937,3229404,201467,201467,117825,83642,11,660,0
3232742,844,1,3028157,3028157,3232742,204585,204585,96682,107903,17,170,0
3232765,685,1,3027673,3027673,3232765,205092,205092,117652,87440,19,950,0
3233324,831,1,3028112,3028112,3233324,205212,205212,110395,94817,16,480,0
3233778,839,1,3028130,3028130,3233778,205648,205648,110848,94800,15,900,0
3236213,713,1,3027778,3027778,3236213,208435,208435,96485,111950,19,190,0
3238188,832,1,3028113,3028113,3238188,210075,210075,115259,94816,13,520,0
3238452,716,1,3027848,3027848,3238452,210604,210604,98724,111880,20,600,0
3243457,703,1,3027724,3027724,3243457,215733,215733,103729,112004,20,200,0
3246546,702,1,3027724,3027724,3246546,218822,218822,106818,112004,21,210,0
3252953,724,1,3027864,3027864,3252953,225089,225089,110742,114347,20,1000,0
3254550,736,1,3027887,3027887,3254550,226663,226663,112378,114285,18,900,0
3265500,725,1,3027866,3027866,3265500,237634,237634,123289,114345,21,420,0
3283941,715,1,3027819,3027819,3283941,256122,256122,136209,119913,20,1200,0
3284926,656,1,3027595,3027595,3284926,257331,257331,132807,124524,17,510,0
3309121,613,1,3027181,3027181,3309121,281940,281940,162825,119115,18,180,0
3333163,669,1,3027629,3027629,3333163,305534,305534,155841,149693,20,1200,0
3333842,843,1,3028139,3028139,3333842,305703,305703,130728,174975,19,760,0
3369494,830,1,3028108,3028108,3369494,341386,341386,193471,147915,19,190,0
3373491,603,1,3027133,3027133,3373491,346358,346358,134772,211586,23,1150,0
3373739,708,1,3027735,3027735,3373739,346004,346004,165634,180370,22,880,0
3383872,695,1,3027709,3027709,3383872,356163,356163,178988,177175,22,440,0
3384602,671,1,3027633,3027633,3384602,356969,356969,182679,174290,19,1140,0
3412625,597,1,3027091,3027091,3412625,385534,385534,173801,211733,21,630,0
3416931,617,1,3027237,3027237,3416931,389694,389694,232806,156888,20,1000,0
3422528,819,1,3028082,3028082,3422528,394446,394446,269228,125218,18,540,0
3449833,783,1,3028008,3028008,3449833,421825,421825,248043,173782,9,90,0
3459466,781,1,3028003,3028003,3459466,431463,431463,257730,173733,10,400,0
3466096,761,1,3027957,3027957,3466096,438139,438139,305467,132672,14,840,0
3469886,636,1,3027362,3027362,3469886,442524,442524,245203,197321,18,1080,0
3470322,825,1,3028095,3028095,3470322,442227,442227,268564,173663,20,800,0
3481420,766,1,3027966,3027966,3481420,453454,453454,279548,173906,13,780,0
3485588,771,1,3027980,3027980,3485588,457608,457608,273283,184325,10,200,0
3495509,774,1,3027984,3027984,3495509,467525,467525,270847,196678,8,240,0
3500037,672,1,3027637,3027637,3500037,472400,472400,261234,211166,12,240,0
3542702,620,1,3027263,3027263,3542702,515439,515439,280430,235009,19,760,0
3548789,841,1,3028134,3028134,3548789,520655,520655,310023,210632,20,1000,0
3593872,638,1,3027369,3027369,3593872,566503,566503,323198,243305,18,720,0
3606233,622,1,3027271,3027271,3606233,578962,578962,259497,319465,22,1320,0
3650477,660,1,3027602,3027602,3650477,622875,622875,345862,277013,19,380,0
3698321,840,1,3028131,3028131,3698321,670190,670190,459529,210661,17,510,0
3769810,856,4,3721511,3721545,3769810,48265,48299,48265,34,0,0,0
3778998,861,4,3721529,3721566,3778998,57432,57469,57432,37,0,0,0
3822940,868,4,3721559,3722380,3822940,100560,101381,100560,821,0,0,0
3844608,874,4,3721586,3725277,3844608,119331,123022,119331,3691,0,0,0
3865611,746,1,3027911,3027911,3865611,837700,837700,491005,346695,20,400,0
3868144,875,1,3867133,3867133,3868144,1011,1011,1011,0,0,0,0
3876201,880,4,3873036,3873097,3876201,3104,3165,3104,61,0,0,0
3876695,885,4,3873106,3873894,3876695,2801,3589,2801,788,0,0,0
3888363,878,4,3873009,3873028,3888363,15335,15354,15335,19,0,0,0
3896251,876,1,3867169,3867169,3896251,29082,29082,29082,0,0,0,0
3902045,894,4,3890341,3891145,3902045,10900,11704,10900,804,0,0,0
3905449,883,4,3873097,3873894,3905449,31555,32352,31555,797,0,0,0
3920126,893,4,3890336,3890341,3920126,29785,29790,29785,5,0,0,0
3938622,822,1,3028090,3028090,3938622,910532,910532,338904,571628,19,380,0
3953828,884,4,3873101,3873894,3953828,79934,80727,79934,793,0,0,0
3964023,520,4,2230413,2230413,3964023,1733610,1733610,154143,1579467,7,140,0
3974598,881,4,3873089,3873101,3974598,101497,101509,101497,12,0,0,0
3979692,891,4,3890327,3890331,3979692,89361,89365,89361,4,0,0,0
4007059,879,4,3873028,3873028,4007059,134031,134031,134031,0,0,0,0
4018456,421,4,2058830,2058882,4018456,1959574,1959626,159184,1800442,8,320,0
4020552,649,1,3027552,3027552,4020552,993000,993000,277455,715545,9,540,0
4030280,768,1,3027969,3027969,4030280,1002311,1002311,286963,715348,12,600,0
4106310,34,1,225015,225015,4106310,3881295,3881295,915833,2965462,5,50,0
4115811,16,1,44477,44477,4115811,4071334,4071334,926043,3145291,1,10,0
4121735,902,1,4098906,4098906,4121735,22829,22829,22829,0,0,0,0
4125962,511,4,2230371,2230371,4125962,1895591,1895591,206808,1688783,8,320,0
4216231,903,8,4131053,4131053,4216231,85178,85178,85178,0,0,0,0
4308484,905,8,4217249,4301307,4308484,7177,91235,7177,84058,0,0,0
4351847,909,4,4343680,4343680,4351847,8167,8167,8167,0,0,0,0
4352574,912,8,4349687,4349687,4352574,2887,2887,2887,0,0,0,0
4382023,906,8,4301307,4301307,4382023,80716,80716,80716,0,0,0,0
4389538,529,4,2394720,2394724,4389538,1994814,1994818,195973,1798845,5,150,0
4419285,911,4,4348474,4348474,4419285,70811,70811,70811,0,0,0,0
4424895,886,4,3890306,3890306,4424895,534589,534589,164215,370374,3,60,0
4428784,916,4,4390118,4390118,4428784,38666,38666,38666,0,0,0,0
4431720,860,4,3721525,3721566,4431720,710154,710195,179939,530256,4,40,0
4442264,887,4,3890310,3890313,4442264,551951,551954,181577,370377,3,30,0
4472164,491,4,2230280,2230283,4472164,2241881,2241884,249194,1992690,8,320,0
4472838,914,4,4387864,4388677,4472838,84161,84974,84161,813,0,0,0
4491868,917,4,4442540,4442540,4491868,49328,49328,49328,0,0,0,0
4496752,928,4,4491981,4491981,4496752,4771,4771,4771,0,0,0,0
