time,max,99th,95th,med
2670197,52.4,52.4,52.4,52.4
2670198,52.4,52.4,52.4,52.4
2670200,52.4,52.4,52.4,52.4
2670201,52.4,52.4,52.4,52.4
2670204,52.4,52.4,52.4,52.4
2670214,52.4,52.4,52.4,52.4
2670218,52.4,52.4,52.4,52.4
2670227,52.4,52.4,52.4,52.4
2670231,52.4,52.4,52.4,52.4
2670261,52.4,52.4,52.4,52.4
2670264,52.4,52.4,52.4,52.4
2670265,52.4,52.4,52.4,52.4
2670268,52.4,52.4,52.4,52.4
2670269,52.4,52.4,52.4,52.4
2670272,52.4,52.4,52.4,52.4
2670282,52.4,52.4,52.4,52.4
2670284,52.4,52.4,52.4,52.4
2670285,52.4,52.4,52.4,52.4
2670287,52.4,52.4,52.4,52.4
2670289,52.4,52.4,52.4,52.4
2670291,52.4,52.4,52.4,52.4
2670301,52.4,52.4,52.4,52.4
2670305,52.4,52.4,52.4,52.4
2670319,52.4,52.4,52.4,52.4
2670322,52.4,52.4,52.4,52.4
2670323,52.4,52.4,52.4,52.4
2670326,52.4,52.4,52.4,52.4
2670329,52.4,52.4,52.4,52.4
2670349,52.4,52.4,52.4,52.4
2670363,52.4,52.4,52.4,52.4
2670367,52.4,52.4,52.4,52.4
2670370,52.4,52.4,52.4,52.4
2670374,52.4,52.4,52.4,52.4
2670377,52.4,52.4,52.4,52.4
2670380,52.4,52.4,52.4,52.4
2670381,52.4,52.4,52.4,52.4
2670384,52.4,52.4,52.4,52.4
2670385,52.4,52.4,52.4,52.4
2670401,52.4,52.4,52.4,52.4
2670405,52.4,52.4,52.4,52.4
2670406,52.4,52.4,52.4,52.4
2670410,52.4,52.4,52.4,52.4
2670416,52.4,52.4,52.4,52.4
2670451,52.4,52.4,52.4,52.4
2670454,52.4,52.4,52.4,52.4
2670509,52.4,52.4,52.4,52.4
2670510,52.4,52.4,52.4,52.4
2670513,52.4,52.4,52.4,52.4
2670522,52.4,52.4,52.4,52.4
2670578,52.4,52.4,52.4,52.4
2670581,52.4,52.4,52.4,52.4
2670587,52.4,52.4,52.4,52.4
2670589,52.4,52.4,52.4,52.4
2670603,52.4,52.4,52.4,52.4
2670621,52.4,52.4,52.4,52.4
2670626,52.4,52.4,52.4,52.4
2670631,52.4,52.4,52.4,52.4
2670634,52.4,52.4,52.4,52.4
2670649,52.4,52.4,52.4,52.4
2670654,52.4,52.4,52.4,52.4
2670661,52.4,52.4,52.4,52.4
2670672,52.4,52.4,52.4,52.4
2670673,52.4,52.4,52.4,52.4
2670676,52.4,52.4,52.4,52.4
2670697,52.4,52.4,52.4,52.4
2670700,52.4,52.4,52.4,52.4
2670708,52.4,52.4,52.4,52.4
2670711,52.4,52.4,52.4,52.4
2670715,52.4,52.4,52.4,52.4
