time,max,99th,95th,med
961263,22,22,17,12
961267,22,22,17,12
961270,22,22,17,12
961273,22,22,17,12
961277,22,22,17,12
961280,22,22,17,12
961283,22,22,17,12
961287,22,22,17,12
961290,22,22,17,12
961295,22,17,17,12
961298,22,17,17,12
961301,22,17,17,12
961305,22,17,17,12
961308,22,17,17,12
961312,22,17,17,12
961315,22,17,17,12
961318,22,17,17,12
961325,22,17,17,12
961329,22,17,17,12
961332,22,17,17,12
961336,22,17,17,12
961339,22,17,17,12
961343,22,17,17,12
961346,22,17,17,12
961349,22,17,17,12
961356,22,17,17,12
961361,22,17,17,12
961366,22,17,17,12
970540,17,17,17,12
984776,17,17,17,12
991731,17,17,17,12
999469,17,17,17,12
1002536,17,17,17,12
1006449,17,17,17,12
1012316,17,17,17,12
1013544,17,17,17,12
1015466,17,17,17,12
1016944,17,17,17,12
1018821,17,17,17,12
1019156,17,17,17,12
1022216,17,17,17,12
1027100,17,17,17,12
1030894,17,17,17,12
1033327,17,17,17,12
1044254,17,17,17,12
1048858,17,17,17,12
1049921,17,17,17,12
1065104,17,17,17,12
1066353,17,17,17,12
1073051,17,17,17,12
1084671,17,17,17,12
1091019,22,17,17,12
1103578,17,17,17,12
1104721,17,17,17,12
1121580,17,17,17,12
1140868,17,17,17,12
1194162,17,17,17,12
1197859,17,17,17,12
1241979,17,17,17,12
1249647,17,17,17,12
1270283,17,17,17,12
1321697,17,17,17,12
1354781,17,17,17,12
1370505,17,17,17,12
1413706,17,17,17,12
1419884,17,17,17,12
1448652,17,17,17,12
1470710,17,17,17,12
1491102,17,17,17,12
1513829,17,17,17,12
1535275,17,17,17,12
1574734,17,17,17,12
1632035,17,17,17,12
1635836,17,17,17,12
1657988,17,17,17,12
1730146,17,17,17,12
1730160,17,17,17,12
1730161,17,17,17,12
1730177,17,17,17,12
1730179,17,17,17,12
1730194,17,17,17,12
1730199,17,17,17,12
1730202,17,17,17,12
1730215,17,17,17,12
1730216,17,17,17,12
1730223,17,17,17,12
1743036,17,17,17,12
1743040,17,17,17,12
1743044,17,17,17,12
1743049,17,17,17,12
1743052,17,17,17,12
1743056,17,17,17,12
1743063,17,17,17,12
1743067,17,17,17,12
1743072,17,17,17,12
1743075,17,17,17,12
1743079,17,17,17,12
1743083,17,17,17,12
1743086,17,17,17,12
1743092,17,17,17,12
1743099,17,17,17,12
1743103,17,17,17,12
1743106,17,17,17,12
1743111,17,17,17,12
1743115,17,17,17,12
1743118,17,17,17,12
1743121,17,17,17,12
1743125,17,17,17,12
1743130,17,17,17,12
1743133,17,17,17,12
1743137,17,17,17,12
1743140,17,17,17,12
1743145,17,17,17,12
1743149,17,17,17,12
1743159,17,17,17,12
1743163,17,17,17,12
1743167,17,17,17,12
1743175,17,17,17,12
1743187,17,17,17,12
1743190,17,17,17,12
1743194,17,17,17,12
1743198,17,17,17,12
1743209,17,17,17,12
1743212,17,17,17,12
1743219,17,17,17,12
1763070,17,17,17,12
1786227,17,17,17,12
1796766,17,17,17,12
1799509,17,17,17,12
1807667,17,17,17,12
1809412,17,17,17,12
1816333,17,17,17,12
1820480,17,17,17,12
1820705,17,17,17,12
1820801,17,17,17,12
1829625,17,17,17,12
1829629,17,17,17,12
1829632,17,17,17,12
1829645,17,17,17,12
1829649,17,17,17,12
1829653,17,17,17,12
1829663,17,17,17,12
1829671,17,17,17,12
1829675,17,17,17,12
1829683,17,17,17,12
1829691,17,17,17,12
1829695,17,17,17,12
1829698,17,17,17,12
1829702,17,17,17,12
1829707,17,17,17,12
1829716,17,17,17,12
1829720,17,17,17,12
1829724,17,17,17,12
1829727,17,17,17,12
1837887,17,17,17,12
1837896,22,17,17,12
1837914,22,17,17,12
1837922,22,17,17,12
1837931,22,17,17,12
1837940,22,17,17,12
1837949,22,17,17,12
1837957,22,17,17,12
1837969,22,17,17,12
1837978,22,17,17,12
1837987,22,17,17,12
1837996,22,17,17,12
1838005,22,22,17,12
1838014,22,22,17,12
1838022,22,22,17,12
1838038,22,22,17,12
1838046,22,22,22,12
1838055,22,22,22,12
1838064,22,22,22,12
1838073,22,22,22,12
1838081,22,22,22,12
1838090,22,22,22,12
1838105,22,22,22,12
1838115,22,22,22,12
1838123,22,22,22,12
1838132,22,22,22,12
1838141,22,22,22,12
1838151,22,22,22,12
1838162,22,22,22,12
1838174,22,22,22,12
1838185,22,22,22,12
1838201,22,22,22,12
1838219,22,22,22,12
1838230,22,22,22,12
1838242,22,22,22,12
1838250,22,22,22,12
1838258,22,22,22,12
1838268,22,22,22,12
1838276,22,22,22,12
1838284,22,22,22,12
1838303,22,22,22,12
1838312,22,22,22,12
1838320,22,22,22,12
1838339,22,22,22,12
1838348,22,22,22,12
1838357,22,22,22,12
1838366,22,22,22,12
1838379,22,22,22,12
1838389,22,22,22,12
1838397,22,22,22,12
1838407,22,22,22,12
1838416,22,22,22,12
1838434,22,22,22,12
1838448,22,22,22,12
1838466,22,22,22,12
1838474,22,22,22,12
1838483,22,22,22,12
1838492,22,22,22,12
1838500,22,22,22,12
1838525,22,22,22,12
1838535,22,22,22,12
1838543,22,22,22,12
1838551,22,22,22,12
1838560,22,22,22,12
1838569,22,22,22,12
1838585,22,22,22,12
1838594,22,22,22,17
1838603,22,22,22,17
1838611,22,22,22,17
1838619,22,22,22,17
1838628,22,22,22,17
1838637,22,22,22,17
1838653,22,22,22,17
1838662,22,22,22,17
1838671,22,22,22,17
1838680,22,22,22,17
1838688,22,22,22,17
1838697,22,22,22,17
1838705,22,22,22,17
1838714,22,22,22,17
1838723,22,22,22,17
1838732,22,22,22,17
1838741,22,22,22,17
1838750,22,22,22,17
1838759,22,22,22,17
1838789,22,22,22,17
1838798,22,22,22,17
1838817,22,22,22,17
1838825,22,22,22,17
1838835,22,22,22,17
1838843,22,22,22,17
1838858,22,22,22,17
1838866,22,22,22,17
1838875,22,22,22,17
1838883,22,22,22,17
1838892,22,22,22,17
1838910,22,22,22,17
1838925,22,22,22,17
1838934,22,22,22,17
1838943,22,22,22,17
1838952,22,22,22,17
1838962,22,22,22,17
1838970,22,22,22,17
1838980,22,22,22,17
1838994,22,22,22,17
1839003,22,22,22,17
1839011,22,22,22,17
1839020,22,22,22,17
1839029,22,22,22,17
1854181,22,22,22,17
1855511,22,22,22,17
1855996,22,22,22,17
1860774,22,22,22,17
1861007,22,22,22,17
1864065,22,22,22,17
1867263,22,22,22,17
1868984,22,22,22,17
1870597,22,22,22,17
1871432,22,22,22,17
1872358,22,22,22,17
1874002,22,22,22,17
1874348,22,22,22,17
1875113,22,22,22,17
1875773,22,22,22,17
1876126,22,22,22,17
1876314,22,22,22,17
1876374,22,22,22,17
1878380,22,22,22,17
1879178,22,22,22,17
1883297,22,22,22,17
1883776,22,22,22,17
1890721,22,22,22,17
1892695,22,22,22,17
1892825,22,22,22,17
1892933,22,22,22,17
1892950,22,22,22,17
1893036,22,22,22,17
1893136,22,22,22,17
1894356,22,22,22,17
1896100,22,22,22,17
1900657,22,22,22,17
1900661,22,22,22,17
1900666,22,22,22,17
1900669,22,22,22,17
1900676,22,22,22,17
1900719,22,22,22,17
1900746,22,22,22,17
1900755,22,22,22,17
1900788,22,22,22,17
1900806,22,22,22,17
1900833,22,22,22,17
1900934,22,22,22,17
1901098,22,22,22,17
1901922,22,22,22,17
1905226,22,22,22,17
1905465,22,22,22,17
1909101,22,22,22,17
1909266,22,22,22,17
1911117,22,22,22,17
1911136,22,22,22,17
1911159,22,22,22,17
1911259,22,22,22,17
1916163,22,22,22,17
1916395,22,22,22,17
1918976,22,22,22,17
1919307,22,22,22,17
1919389,22,22,22,17
1925912,22,22,22,17
1927012,22,22,22,17
1927689,22,22,22,17
1939382,22,22,22,17
1940272,22,22,22,17
1946761,22,22,22,17
1948415,22,22,22,17
1950471,22,22,22,17
1958797,22,22,22,17
1970081,22,22,22,17
1974063,22,22,22,17
1974525,22,22,22,17
1986341,22,22,22,17
2016838,22,22,22,17
2022061,22,22,22,17
2023564,22,22,22,17
2027247,22,22,22,17
2033479,22,22,22,17
2042575,22,22,22,17
2044079,22,22,22,17
2057025,22,22,22,17
2058781,22,22,22,17
2058785,22,22,22,17
2058789,22,22,22,17
2058800,22,22,22,17
2058806,22,22,22,17
2058810,22,22,22,17
2058826,22,22,22,17
2058830,22,22,22,17
2058837,22,22,22,17
2058848,22,22,22,17
2058855,22,22,22,17
2058862,22,22,22,17
2058866,22,22,22,17
2058870,22,22,22,17
2058874,22,22,22,17
2058878,22,22,22,17
2058882,22,22,22,17
2058890,22,22,22,17
2058893,22,22,22,17
2058897,22,22,22,17
2058920,22,22,22,17
2058929,22,22,22,17
2058934,22,22,22,17
2058938,22,22,22,17
2058942,22,22,22,17
2058946,22,22,22,17
2058951,22,22,22,17
2058955,22,22,22,17
2058959,22,22,22,17
2058968,22,22,22,17
2058983,22,22,22,17
2058992,22,22,22,17
2059007,22,22,22,17
2059011,22,22,22,17
2059015,22,22,22,17
2059019,22,22,22,17
2059028,22,22,22,17
2059042,22,22,22,17
2059065,22,22,22,17
2059068,22,22,22,17
2059076,22,22,22,17
2059079,22,22,22,17
2059091,22,22,22,17
2059102,22,22,22,17
2059105,22,22,22,17
2059109,22,22,22,17
2059129,22,22,22,17
2059136,22,22,22,17
2066039,22,22,22,17
2081846,22,22,22,17
2082055,22,22,22,17
2090984,22,22,22,17
2104735,22,22,17,17
2115463,22,22,17,17
2119942,22,22,17,17
2122003,22,22,17,17
2123248,22,22,17,17
2124066,22,22,17,17
2135289,22,22,17,17
2139771,22,22,17,17
2154682,22,22,17,17
2167641,22,22,17,17
2176446,22,22,17,17
2180294,22,22,17,17
2181235,22,22,17,17
2190344,22,22,22,17
2207660,22,22,22,17
2208470,22,22,22,17
2216693,22,22,22,17
2230177,22,22,22,17
2230181,22,22,22,17
2230184,22,22,22,17
2230187,22,22,22,17
2230191,22,22,22,17
2230194,22,22,22,17
2230198,22,22,22,17
2230201,22,22,22,17
2230205,22,22,17,17
2230208,22,22,17,17
2230212,22,22,17,17
2230215,22,22,17,17
2230219,22,22,22,17
2230222,22,22,17,17
2230226,22,22,17,17
2230229,22,22,17,17
2230234,22,22,17,17
2230238,22,22,17,17
2230241,22,22,17,17
2230245,22,22,17,17
2230248,22,22,17,17
2230252,22,22,17,17
2230255,22,22,17,17
2230258,22,22,17,17
2230262,22,22,17,17
2230265,22,22,17,17
2230269,22,22,17,17
2230273,22,22,17,17
2230277,22,22,17,17
2230280,22,22,17,17
2230283,22,22,17,17
2230287,22,22,17,17
2230294,22,22,17,17
2230301,22,22,17,17
2230304,22,22,17,17
2230308,22,22,17,17
2230311,22,22,17,17
2230315,22,22,17,17
2230319,22,22,17,17
2230326,22,22,17,17
2230333,22,22,17,17
2230336,22,22,17,17
2230343,22,22,22,17
2230346,22,22,22,17
2230350,22,22,22,17
2230353,22,22,22,17
2230360,22,22,22,17
2230364,22,22,22,17
2230367,22,22,22,17
2230371,22,22,22,17
2230378,22,22,22,17
2230381,22,22,22,17
2230385,22,22,22,17
2230391,22,22,17,17
2230395,22,22,17,17
2230398,22,22,17,17
2230401,22,22,17,17
2230405,22,22,17,17
2230413,22,22,17,17
2230417,22,22,17,17
2230420,22,22,17,17
2230424,22,22,17,17
2230431,22,22,17,17
2230435,22,22,17,17
2230439,22,22,17,17
2230442,22,22,17,17
2236367,22,22,22,17
2245553,22,22,22,17
2245558,22,22,22,17
2248493,22,22,22,17
2248738,22,22,17,17
2256124,22,22,17,17
2266581,22,22,17,17
2272525,22,22,17,17
2272851,22,22,17,17
2277244,22,22,17,17
2279240,22,22,17,17
2295737,22,22,17,17
2302643,22,22,17,17
2311645,22,22,22,12
2326372,22,22,22,12
2326905,22,22,22,12
2330187,22,22,22,12
2338128,22,22,22,12
2344380,22,22,22,12
2345425,22,22,22,12
2363171,22,22,22,12
2374490,22,22,22,12
2381092,22,22,22,12
2385848,22,22,22,12
2389750,22,22,22,12
2391330,22,22,22,12
2392707,22,22,22,12
2394716,22,22,22,12
2394720,22,22,22,12
2394724,22,22,22,12
2394727,22,22,22,12
2394731,22,22,22,12
2394735,22,22,22,12
2394738,22,22,22,12
2394741,22,22,22,12
2394749,22,22,22,12
2394752,22,22,22,12
