time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
69274696,556,8,2762351,2762365,69274696,66512331,66512345,1079,66511266,1,60,0
69298767,537,4,2394752,2394752,69298767,66904015,66904015,8096588,58807427,1,60,0
69300050,557,8,2762365,2762366,69300050,66537684,66537685,25761,66511924,1,50,0
69463467,555,8,2762344,2762351,69463467,66701116,66701123,374522,66326601,1,20,0
69518051,558,8,2762366,2762367,69518051,66755684,66755685,218763,66536922,1,10,0
69519530,561,8,2764715,2764717,69519530,66754813,66754815,2011,66752804,1,60,0
69702771,492,4,2230283,2230287,69702771,67472484,67472488,18309038,49163450,1,40,0
69837228,559,8,2762367,2762368,69837228,67074860,67074861,374522,66700339,1,10,0
70084681,564,8,2764726,2764735,70084681,67319946,67319955,247967,67071988,1,60,0
70098356,562,8,2764717,2764723,70098356,67333633,67333639,579352,66754287,1,20,0
70108849,565,8,2764735,2764771,70108849,67344078,67344114,24646,67319468,1,50,0
70223218,563,8,2764723,2764726,70223218,67458492,67458495,520970,66937525,1,10,0
70225222,568,8,2764803,2764860,70225222,67460362,67460419,2751,67457668,1,40,0
70262476,569,8,2764860,2765249,70262476,67497227,67497616,37974,67459642,1,60,0
70290342,543,4,2394774,2394774,70290342,67895568,67895568,6729009,61166559,1,10,0
70403530,567,8,2764786,2764803,70403530,67638727,67638744,295127,67343617,1,10,0
70445193,571,8,2778451,2778466,70445193,67666727,67666742,42079,67624663,1,40,0
71411576,572,8,2778466,2778479,71411576,68633097,68633110,967142,67665968,1,10,0
71575902,519,4,2230405,2231189,71575902,69344713,69345497,13270001,56075496,1,50,0
71624809,574,8,2787624,2787660,71624809,68837149,68837185,49314,68787871,1,10,0
71675006,575,8,2787660,2788067,71675006,68886939,68887346,50604,68836742,1,30,0
71924498,576,8,2788525,2788528,71924498,69135970,69135973,249899,68886074,1,20,0
71940484,577,8,2788528,2788935,71940484,69151549,69151956,16393,69135563,1,40,0
72014364,578,8,2831097,2831118,72014364,69183246,69183267,74319,69108948,1,30,0
72050557,579,8,2831118,2831121,72050557,69219436,69219439,36629,69182810,1,50,0
72161063,573,8,2778479,2778882,72161063,69382181,69382584,750205,68632379,1,40,0
72246552,581,8,2831155,2831557,72246552,69414995,69415397,86207,69329190,1,50,0
72247830,582,8,2842990,2866521,72247830,69381309,69404840,1685,69403155,1,40,0
72255204,583,8,2866521,2866928,72255204,69388276,69388683,7781,69380902,1,40,0
72665095,494,4,2230294,2231189,72665095,70433906,70434801,20589229,49845572,1,10,0
73537621,580,8,2831121,2831155,73537621,70706466,70706500,1487822,69218678,1,50,0
73847418,549,4,2394796,2394796,73847418,71452622,71452622,7687561,63765061,1,20,0
73867223,550,4,2394800,2394800,73867223,71472423,71472423,7263645,64208778,1,50,0
74178272,584,8,2867843,2876311,74178272,71301961,71310429,1923475,69386954,1,50,0
74348823,597,1,3027091,3027091,74348823,71321732,71321732,173801,71147931,1,30,0
74786331,587,8,3011382,3011382,74786331,71774949,71774949,608466,71166483,1,20,0
74917853,603,1,3027133,3027133,74917853,71890720,71890720,134772,71755948,1,50,0
75478134,592,1,3027046,3027046,75478134,72451088,72451088,1830686,70620402,4,160,0
75632163,586,8,2944809,2944809,75632163,72687354,72687354,1785152,70902202,1,10,0
75791738,613,1,3027181,3027181,75791738,72764557,72764557,162825,72601732,1,10,0
75861719,617,1,3027237,3027237,75861719,72834482,72834482,232806,72601676,1,50,0
76138899,620,1,3027263,3027263,76138899,73111636,73111636,280430,72831206,1,40,0
76304868,601,1,3027118,3027118,76304868,73277750,73277750,1521787,71755963,1,20,0
76311132,570,8,2778450,2778451,76311132,73532681,73532682,6049087,67483595,1,10,0
76377531,598,1,3027094,3027094,76377531,73350437,73350437,2202509,71147928,1,10,0
76561115,622,1,3027271,3027271,76561115,73533844,73533844,259497,73274347,1,60,0
76770033,607,1,3027153,3027153,76770033,73742880,73742880,1986952,71755928,1,60,0
76807127,621,1,3027267,3027267,76807127,73779860,73779860,671478,73108382,1,10,0
76823633,588,1,3027017,3027017,76823633,73796616,73796616,29315109,44481507,28,280,0
76929647,420,4,2058826,2058837,76929647,74870810,74870821,41056182,33814639,1,10,0
76965074,627,1,3027298,3027298,76965074,73937776,73937776,657192,73280584,1,20,0
77162681,615,1,3027207,3027207,77162681,74135474,74135474,1533768,72601706,1,60,0
77171600,636,1,3027362,3027362,77171600,74144238,74144238,245203,73899035,1,60,0
77196033,614,1,3027195,3027195,77196033,74168838,74168838,1567120,72601718,1,40,0
77249595,638,1,3027369,3027369,77249595,74222226,74222226,323198,73899028,1,40,0
77650183,538,4,2394756,2394756,77650183,75255427,75255427,15623173,59632254,1,40,0
77956175,590,1,3027031,3027031,77956175,74929144,74929144,10562162,64366982,13,130,0
78090546,629,1,3027317,3027317,78090546,75063229,75063229,1782664,73280565,1,30,0
78106830,604,1,3027141,3027141,78106830,75079689,75079689,3323749,71755940,1,20,0
78230380,649,1,3027552,3027552,78230380,75202828,75202828,277455,74925373,1,60,0
78247988,599,1,3027101,3027101,78247988,75220887,75220887,4072966,71147921,1,50,0
78403141,643,1,3027432,3027432,78403141,75375709,75375709,1210358,74165351,1,60,0
78405976,630,1,3027324,3027324,78405976,75378652,75378652,2098094,73280558,1,50,0
78407520,444,4,2058983,2058992,78407520,76348528,76348537,37293799,39054738,1,60,0
78523795,634,1,3027351,3027351,78523795,75496444,75496444,1719918,73776526,1,30,0
78537077,656,1,3027595,3027595,78537077,75509482,75509482,132807,75376675,1,30,0
78614390,533,4,2394735,2394735,78614390,76219655,76219655,18052989,58166666,1,40,0
78656414,650,1,3027558,3027558,78656414,75628856,75628856,569118,75059738,1,60,0
78695060,600,1,3027113,3027113,78695060,75667947,75667947,4349487,71318460,1,50,0
78791346,605,1,3027145,3027145,78791346,75764201,75764201,4008265,71755936,1,50,0
78827261,633,1,3027348,3027348,78827261,75799913,75799913,2060478,73739435,1,30,0
78866407,660,1,3027602,3027602,78866407,75838805,75838805,345862,75492943,1,20,0
78941982,647,1,3027523,3027523,78941982,75914459,75914459,1295049,74619410,1,40,0
78979852,669,1,3027629,3027629,78979852,75952223,75952223,155841,75796382,1,60,0
79121411,671,1,3027633,3027633,79121411,76093778,76093778,182679,75911099,1,60,0
79192994,665,1,3027622,3027622,79192994,76165372,76165372,581854,75583518,1,20,0
79214355,602,1,3027122,3027122,79214355,76187233,76187233,4431274,71755959,1,50,0
79237836,672,1,3027637,3027637,79237836,76210199,76210199,261234,75948965,1,20,0
79525927,593,1,3027057,3027057,79525927,76498870,76498870,5878479,70620391,4,120,0
79576381,651,1,3027565,3027565,79576381,76548816,76548816,1472801,75076015,1,60,0
79601062,652,1,3027573,3027573,79601062,76573489,76573489,1373932,75199557,1,20,0
79904573,676,1,3027644,3027644,79904573,76876929,76876929,669987,76206942,1,10,0
79922752,521,4,2230417,2231189,79922752,77691563,77692335,21557398,56134937,1,60,0
80040080,653,1,3027576,3027576,80040080,77012504,77012504,1795342,75217162,1,60,0
80101989,623,1,3027274,3027274,80101989,77074715,77074715,3794107,73280608,1,40,0
80154482,685,1,3027673,3027673,80154482,77126809,77126809,117652,77009157,1,50,0
80568443,566,8,2764771,2764786,80568443,77803657,77803672,10470550,67333122,1,10,0
80626869,692,1,3027697,3027697,80626869,77599172,77599172,61676,77537496,1,40,0
80744181,695,1,3027709,3027709,80744181,77716472,77716472,178988,77537484,1,20,0
80800632,697,1,3027713,3027713,80800632,77772919,77772919,59701,77713218,1,40,0
81223856,648,1,3027529,3027529,81223856,78196327,78196327,3576923,74619404,1,30,0
81397616,674,1,3027641,3027641,81397616,78369975,78369975,2207872,76162103,1,60,0
81448077,658,1,3027598,3027598,81448077,78420479,78420479,3043807,75376672,1,10,0
81677157,675,1,3027641,3027641,81677157,78649516,78649516,2466052,76183464,1,30,0
81712574,624,1,3027278,3027278,81712574,78685296,78685296,5404692,73280604,1,10,0
81780725,702,1,3027724,3027724,81780725,78753001,78753001,106818,78646183,1,10,0
81813053,703,1,3027724,3027724,81813053,78785329,78785329,103729,78681600,1,10,0
81857444,497,4,2230308,2231189,81857444,79626255,79627136,29312116,50315020,1,40,0
81877711,595,1,3027069,3027069,81877711,78850642,78850642,7702689,71147953,1,30,0
82019828,708,1,3027735,3027735,82019828,78992093,78992093,165634,78826459,1,40,0
82077874,711,1,3027739,3027739,82077874,79050135,79050135,61296,78988839,1,40,0
82086967,680,1,3027652,3027652,82086967,79059315,79059315,2185644,76873671,1,50,0
82180202,713,1,3027778,3027778,82180202,79152424,79152424,96485,79055939,1,10,0
82235684,679,1,3027651,3027651,82235684,79208033,79208033,2637872,76570161,1,30,0
82266210,701,1,3027720,3027720,82266210,79238490,79238490,821383,78417107,1,40,0
82361684,716,1,3027848,3030267,82361684,79331417,79333836,98724,79235112,1,30,0
82368643,715,1,3027819,3027819,82368643,79340824,79340824,136209,79204615,1,60,0
82408698,661,1,3027603,3027603,82408698,79381095,79381095,3874871,75506224,1,30,0
82423690,700,1,3027720,3027720,82423690,79395970,79395970,1029324,78366646,1,40,0
82460333,698,1,3027716,3027716,82460333,79432617,79432617,1662951,77769666,1,40,0
82524466,681,1,3027658,3027658,82524466,79496808,79496808,2604964,76891844,1,40,0
82803250,659,1,3027599,3027599,82803250,79775651,79775651,4398980,75376671,1,30,0
82921947,693,1,3027701,3027701,82921947,79894246,79894246,2356754,77537492,1,10,0
82965150,699,1,3027717,3027717,82965150,79937433,79937433,1744544,78192889,1,20,0
83029439,724,1,3027864,3030323,83029439,79999116,80001575,110742,79890833,1,50,0
83081681,709,1,3027735,3027735,83081681,80053946,80053946,1227487,78826459,1,40,0
83085189,725,1,3027866,3030341,83085189,80054848,80057323,123289,79934034,1,20,0
83490970,419,4,2058810,2058830,83490970,81432140,81432160,47962007,33470153,1,60,0
83553526,691,1,3027692,3027692,83553526,80525834,80525834,2988333,77537501,1,50,0
83564551,722,1,3027860,3030315,83564551,80534236,80536691,1043335,79493356,1,40,0
83742816,719,1,3027854,3030293,83742816,80712523,80714962,1337368,79377594,1,50,0
83878957,726,1,3027868,3030344,83878957,80848613,80851089,852768,79998321,1,20,0
83976406,721,1,3027858,3030307,83976406,80946099,80948548,1519323,79429225,1,20,0
83981325,657,1,3027595,3027595,83981325,80953730,80953730,5577055,75376675,1,20,0
83988085,736,1,3027887,3030406,83988085,80957679,80960198,112378,80847820,1,50,0
84310692,732,1,3027879,3030391,84310692,81280301,81282813,822972,80459841,1,30,0
84464293,639,1,3027388,3027388,84464293,81436905,81436905,7537896,73899009,1,50,0
84515682,741,1,3027899,3030431,84515682,81485251,81487783,54639,81433144,1,40,0
84656305,640,1,3027400,3027400,84656305,81628905,81628905,7694481,73934424,1,10,0
84707783,644,1,3027492,3027492,84707783,81680291,81680291,7461438,74218853,1,50,0
84734430,729,1,3027873,3030368,84734430,81704062,81706557,1246710,80459847,1,20,0
84753673,655,1,3027588,3027588,84753673,81726085,81726085,6350947,75375138,1,20,0
84877196,276,2,1829698,1829702,84877196,83047494,83047498,59501252,23546246,1,20,0
84903664,734,1,3027883,3030398,84903664,81873266,81875781,1342363,80533418,1,30,0
84987987,749,1,3027919,3030517,84987987,81957470,81960068,87573,81872495,1,30,0
84990539,733,1,3027881,3030395,84990539,81960144,81962658,1440263,80522395,1,60,0
85003774,718,1,3027852,3030281,85003774,81973493,81975922,2638381,79337541,1,30,0
85164068,450,4,2059028,2059862,85164068,83104206,83105040,41548600,41556440,1,20,0
85224335,756,1,3027935,3030560,85224335,82193775,82196400,63517,82132883,1,40,0
85241428,746,1,3027911,3030491,85241428,82210937,82213517,491005,81722512,1,20,0
85248937,508,4,2230360,2231189,85248937,83017748,83018577,29237139,53781438,1,40,0
85251837,730,1,3027876,3030372,85251837,82221465,82223961,1764117,80459844,1,20,0
85276047,755,1,3027931,3030548,85276047,82245499,82248116,115229,82132887,1,40,0
85320860,686,1,3027677,3027677,85320860,82293183,82293183,5222121,77071062,1,60,0
85338910,757,1,3027937,3030567,85338910,82308343,82310973,117825,82193148,1,60,0
85343471,673,1,3027637,3027637,85343471,82315834,82315834,6225310,76090524,1,30,0
85347036,759,1,3027943,3030579,85347036,82316457,82319093,101349,82217744,1,30,0
85367510,554,4,2676502,2709421,85367510,82658089,82691008,17229353,65461655,1,10,0
85458236,740,1,3027896,3030427,85458236,82427809,82430340,1150794,81279546,1,10,0
85459755,737,1,3027891,3030409,85459755,82429346,82431864,1486599,80945265,1,50,0
85494882,720,1,3027856,3030296,85494882,82464586,82467026,3074442,79392584,1,50,0
85551154,761,1,3027957,3030598,85551154,82520556,82523197,305467,82217730,1,60,0
85584938,775,1,3027988,3030773,85584938,82554165,82556950,93306,82463644,1,20,0
85615208,766,1,3027966,3030619,85615208,82584589,82587242,279548,82307694,1,60,0
85630749,768,1,3027969,3030650,85630749,82600099,82602780,286963,82315817,1,50,0
85637543,771,1,3027980,3030682,85637543,82606861,82609563,273283,82336280,1,20,0
85676566,777,1,3027992,3030802,85676566,82645764,82648574,94878,82553696,1,40,0
85727352,774,1,3027984,3030764,85727352,82696588,82699368,270847,82428521,1,30,0
85755242,712,1,3027753,3027753,85755242,82727489,82727489,3680618,79046871,1,20,0
85796300,782,1,3028004,3030830,85796300,82765470,82768296,72198,82696098,1,50,0
85914517,738,1,3027892,3030414,85914517,82884103,82886625,1936442,80950183,1,50,0
85931046,781,1,3028003,3030826,85931046,82900220,82903043,257730,82645313,1,40,0
