job_id,model_name,duration,submit_time,num_gpu,,
91,b,36279,927061,8,,
92,b,13161,927085,8,,
93,c,256265,928926,1,,
94,c,625467,933791,1,,
95,c,120207,933847,1,,
96,d,212338,934096,8,,
97,f,530865,934234,1,,
98,c,2267492,934328,1,,
99,c,182375,938126,4,,
100,e,27474,939909,1,,
101,d,12742,942406,4,,
102,d,86291,943745,8,,
103,e,1090692,944459,4,,
104,b,58505,945005,4,,
105,a,484049,945497,8,,
106,d,26113,949480,1,,
107,a,46795,951714,4,,
108,d,1089982,952378,8,,
109,d,1690277,952492,1,,
110,f,170126,952575,4,,
111,b,246338,953581,1,,
112,f,174031,953698,8,,
113,c,10117784,954378,8,,
114,c,2381832,954545,8,,
115,c,664482,957940,8,,
116,d,1922,960929,4,,
117,c,8195,965967,4,,
118,e,74336,966307,4,,
119,f,500227,966743,4,,
120,d,93224019,967239,1,,
121,e,222911,968119,4,,
122,e,2440,971624,2,,
123,f,816000,975247,2,,
124,c,2214,975284,4,,
125,f,12292,975315,8,,
126,b,1398,975682,16,,
127,c,392091,987167,16,,
128,e,989570,1005321,1,,
129,f,1237057,1006211,8,,
130,a,40395,1006812,8,,
131,b,2280829,1009447,1,,
132,d,103888,1009453,8,,
133,b,208834,1009599,1,,
134,a,72993180,1009619,1,,
135,c,2343369,1009633,1,,
136,d,98481467,1009674,1,,
137,e,2458318,1009705,1,,
138,d,7915550,1009710,1,,
139,e,8441375,1009752,1,,
140,d,4269,1009752,1,,
141,d,13419,1009753,8,,
142,d,35171,1009921,1,,
143,f,21670,1011431,1,,
144,b,30770,1011444,1,,
145,f,203162,1011490,1,,
146,c,55053,1011491,1,,
147,b,101856,1014953,8,,
148,b,148772,1015021,8,,
149,a,850488,1015064,8,,
150,f,352733,1015093,8,,
151,b,828,1015171,8,,
152,b,29354,1015222,8,,
153,b,20277,1015607,8,,
154,d,168803,1016124,1,,
155,f,38784404,1016326,1,,
156,d,900649,1016381,1,,
157,d,9986,1019746,8,,
158,a,2399739,1020374,8,,
159,a,52036,1020424,8,,
160,f,21781,1020728,8,,
161,a,3983608,1021279,2,,
162,a,726751,1023800,8,,
163,b,5721925,1023838,2,,
164,d,4105289,1024705,4,,
165,f,1035977,1025469,8,,
166,c,1301104,1026810,1,,
167,a,1767306,1028607,8,,
168,c,360392,1029984,1,,
169,f,24270111,1030100,1,,
170,a,811062,1030160,1,,
171,c,103934,1030361,4,,
172,a,93981045,1030707,1,,
173,e,102432904,1030710,1,,
174,c,473571,1030744,1,,
175,d,154112067,1031261,1,,
176,f,62677453,1031266,1,,
177,e,685516,1031320,1,,
178,d,70279319,1032248,1,,
179,a,110300346,1032275,1,,
180,c,83381,1034829,16,,
181,a,472093,1035351,1,,
182,d,118193,1038148,4,,
183,e,269612,1046652,2,,
184,e,152698,1048001,1,,
185,a,130084,1050065,1,,
186,f,76035,1050107,4,,
187,f,646102,1050125,4,,
188,c,72334,1050163,1,,
189,f,380925,1050841,4,,
190,d,822501,1050875,4,,
191,e,61828840,1050932,1,,
192,f,102953881,1050993,1,,
193,f,14840706,1051115,1,,
194,a,318159,1051175,1,,
195,f,3415,1051982,1,,
196,b,170185,1052041,1,,
197,f,983350,1052082,1,,
198,f,43511,1052260,1,,
199,c,3551,1053097,2,,
200,a,16383,1053805,4,,
201,d,7144690,1054564,1,,
202,a,413100,1054643,1,,
203,d,7382958,1055778,1,,
204,c,235548,1056085,8,,
205,e,3639,1056856,32,,
206,e,73011,1062916,16,,
207,e,10023680,1066311,1,,
208,b,1024817,1070823,1,,
209,c,3729276,1078849,1,,
210,b,78895,1081548,1,,
211,a,11149308,1085979,8,,
212,f,1850,1086175,4,,
213,d,83997,1086925,1,,
