job_id,model_name,duration,submit_time,num_gpu,,,
129,c,20250389,961065,2,,,
130,e,670823,961069,2,,,
131,a,2202747,961072,2,,,
132,a,2163411,961075,2,,,
133,a,105235,961078,2,,,
134,a,37728469,961082,2,,,
135,a,288511,961086,2,,,
136,b,12480310,961089,2,,,
137,e,1331392,961092,2,,,
138,a,2974364,961095,2,,,
139,b,62574808,961099,2,,,
140,d,452474,961102,2,,,
141,d,83048,961106,2,,,
142,b,160362,961109,2,,,
143,f,3374608,961114,2,,,
144,c,552591,961118,2,,,
145,a,3209002,961121,2,,,
146,b,1396021,961125,2,,,
147,a,3986008,961129,2,,,
148,b,2354580,961132,2,,,
149,a,35714321,961136,2,,,
150,e,8589837,961140,2,,,
151,b,41336,961143,2,,,
152,d,3475787,961147,2,,,
153,f,1581579,961150,2,,,
154,e,846364,961153,2,,,
155,f,29222951,961157,2,,,
156,c,111787,961160,2,,,
157,f,509379,961164,2,,,
158,f,13809315,961168,2,,,
159,e,123337,961171,2,,,
160,e,1248878,961174,2,,,
161,f,6321555,961178,2,,,
162,e,1244502,961181,2,,,
163,e,4438687,961185,2,,,
164,e,13697518,961188,2,,,
165,a,529821,961191,2,,,
166,d,19098834,961194,2,,,
167,c,42372279,961197,2,,,
168,b,232861,961201,2,,,
169,e,696533,961204,2,,,
170,d,57838,961208,2,,,
171,b,487330,961211,2,,,
172,a,4511552,961215,2,,,
173,f,11238569,961218,2,,,
174,c,30389,961222,2,,,
175,b,9941411,961225,2,,,
176,e,10180764,961229,2,,,
177,b,54078,961233,2,,,
178,f,5286579,961236,2,,,
179,d,20851722,961239,2,,,
180,f,4116677,961242,2,,,
181,b,51020,961246,2,,,
182,d,3303871,961249,2,,,
183,f,7405397,961253,2,,,
184,b,5442415,961256,2,,,
185,f,14027203,961259,2,,,
186,a,1552369,961263,2,,,
187,c,9280612,961267,2,,,
188,d,5717927,961270,2,,,
189,f,7191707,961273,2,,,
190,d,14137107,961277,2,,,
191,f,23107041,961280,2,,,
192,d,3669869,961283,2,,,
193,f,838071,961287,2,,,
194,a,1659740,961290,2,,,
195,f,44984,961295,2,,,
196,b,2092351,961298,2,,,
197,e,27890298,961301,2,,,
198,e,965540,961305,2,,,
199,f,60778,961308,2,,,
200,a,1134145,961312,2,,,
201,d,7655866,961315,2,,,
202,a,57433,961318,2,,,
203,d,10622015,961325,2,,,
204,f,14632416,961329,2,,,
205,a,613342,961332,2,,,
206,b,7664165,961336,2,,,
207,c,15448626,961339,2,,,
208,f,1138352,961343,2,,,
209,b,10389843,961346,2,,,
210,e,1012564,961349,2,,,
211,d,10974742,961356,2,,,
212,a,71896,961361,2,,,
213,d,6576909,961366,2,,,
214,d,3033972,1730146,4,,,
215,d,649033,1730160,4,,,
216,c,4492756,1730161,4,,,
217,e,19662589,1730177,4,,,
218,a,37592280,1730179,4,,,
219,a,2335308,1730194,4,,,
220,d,26324334,1730199,4,,,
221,d,13116159,1730202,4,,,
222,c,9883630,1730215,4,,,
223,e,175928,1730216,4,,,
224,e,1997433,1730223,4,,,
225,e,906959,1743036,2,,,
226,c,728941,1743040,2,,,
227,f,790443,1743044,2,,,
228,e,1612723,1743049,2,,,
229,c,88559572,1743052,2,,,
230,e,11594602,1743056,2,,,
231,f,12029384,1743063,2,,,
232,b,77588,1743067,2,,,
233,f,66210,1743072,2,,,
234,e,5009646,1743075,2,,,
235,b,278922,1743079,2,,,
236,f,10646591,1743083,2,,,
237,a,793899,1743086,2,,,
238,b,77328,1743092,2,,,
239,c,11815905,1743099,2,,,
240,b,2801203,1743103,2,,,
241,d,5379913,1743106,2,,,
242,a,116131334,1743111,2,,,
243,e,3279022,1743115,2,,,
244,f,13763490,1743118,2,,,
245,d,7141668,1743121,2,,,
246,b,273633,1743125,2,,,
247,b,43017,1743130,2,,,
248,e,2366357,1743133,2,,,
249,f,5023619,1743137,2,,,
250,b,10444677,1743140,2,,,
251,b,73108,1743145,2,,,
252,b,140567,1743149,2,,,
253,e,1318556,1743159,2,,,
254,e,30768893,1743163,2,,,
255,c,1591897,1743167,2,,,
256,d,147416,1743175,2,,,
257,e,5352141,1743187,2,,,
258,f,919463,1743190,2,,,
259,f,77457,1743194,2,,,
260,c,1239296,1743198,2,,,
261,e,2734474,1743209,2,,,
262,d,43942805,1743212,2,,,
263,a,313736,1743219,2,,,
264,a,3635849,1829625,2,,,
265,f,377871,1829629,2,,,
266,e,118643,1829632,2,,,
267,d,3662891,1829645,2,,,
268,b,928709,1829649,2,,,
269,f,261181,1829653,2,,,
270,a,2576939,1829663,2,,,
271,c,8020533,1829671,2,,,
272,a,214364,1829675,2,,,
273,f,770751,1829683,2,,,
274,d,7629659,1829691,2,,,
275,a,42593,1829695,2,,,
276,b,59501252,1829698,2,,,
277,a,14004745,1829702,2,,,
278,d,3291629,1829707,2,,,
279,a,981202,1829716,2,,,
280,b,730120,1829720,2,,,
281,b,4243351,1829724,2,,,
282,c,4886562,1829727,2,,,
283,b,18039,1837887,1,,,
284,a,2509266,1837896,1,,,
285,e,955811,1837914,1,,,
286,e,33380,1837922,1,,,
287,c,712381,1837931,1,,,
288,b,338446,1837940,1,,,
289,f,37684,1837949,1,,,
290,e,87845,1837957,1,,,
291,e,16092,1837969,1,,,
292,f,3719303,1837978,1,,,
293,e,3988184,1837987,1,,,
294,f,2139730,1837996,1,,,
295,b,536435,1838005,1,,,
296,b,29189,1838014,1,,,
297,f,622765,1838022,1,,,
298,a,784679,1838038,1,,,
299,b,281846,1838046,1,,,
300,d,243900,1838055,1,,,
301,b,17387,1838064,1,,,
302,f,441027,1838073,1,,,
303,a,277312,1838081,1,,,
304,c,30814,1838090,1,,,
305,a,25910,1838105,1,,,
306,f,3543691,1838115,1,,,
307,b,78212,1838123,1,,,
308,a,3715504,1838132,1,,,
309,a,297078,1838141,1,,,
310,f,38043,1838151,1,,,
311,c,4593214,1838162,1,,,
312,b,136261,1838174,1,,,
313,d,72944,1838185,1,,,
314,e,35651,1838201,1,,,
315,c,36029,1838219,1,,,
316,b,5317669,1838230,1,,,
317,a,1257037,1838242,1,,,
318,f,623150,1838250,1,,,
319,c,5041181,1838258,1,,,
320,b,301443,1838268,1,,,
321,e,37730,1838276,1,,,
322,b,1457937,1838284,1,,,
323,f,551267,1838303,1,,,
324,d,9031425,1838312,1,,,
325,b,11357669,1838320,1,,,
326,d,7818773,1838339,1,,,
327,d,2892194,1838348,1,,,
328,a,39983,1838357,1,,,
329,d,6344586,1838366,1,,,
330,d,6944839,1838379,1,,,
331,d,13502189,1838389,1,,,
332,c,960583,1838397,1,,,
333,c,860427,1838407,1,,,
334,d,547332,1838416,1,,,
335,a,4256293,1838434,1,,,
336,a,341776,1838448,1,,,
337,b,554171,1838466,1,,,
338,f,111827,1838474,1,,,
339,b,1239110,1838483,1,,,
340,f,13410412,1838492,1,,,
341,e,40548,1838500,1,,,
342,c,3293571,1838525,1,,,
343,f,70601,1838535,1,,,
344,f,2000840,1838543,1,,,
345,f,9236024,1838551,1,,,
346,e,673540,1838560,1,,,
347,b,31928,1838569,1,,,
348,c,194804,1838585,1,,,
349,b,807911,1838594,1,,,
350,f,5140600,1838603,1,,,
351,e,659034,1838611,1,,,
352,d,7268451,1838619,1,,,
353,e,37566,1838628,1,,,
354,d,66738,1838637,1,,,
355,d,8695266,1838653,1,,,
356,b,53933,1838662,1,,,
357,b,9445737,1838671,1,,,
358,b,7439686,1838680,1,,,
359,d,2041589,1838688,1,,,
360,f,810392,1838697,1,,,
361,c,3283074,1838705,1,,,
362,e,5022090,1838714,1,,,
363,d,36300,1838723,1,,,
364,c,658429,1838732,1,,,
365,e,2714813,1838741,1,,,
366,a,472865,1838750,1,,,
367,a,101483,1838759,1,,,
368,c,4195463,1838789,1,,,
369,a,7016221,1838798,1,,,
370,c,11255223,1838817,1,,,
371,d,1220270,1838825,1,,,
372,d,80051,1838835,1,,,
373,f,7493211,1838843,1,,,
374,a,15170441,1838858,1,,,
375,e,409752,1838866,1,,,
376,d,1340461,1838875,1,,,
377,b,1505580,1838883,1,,,
378,e,910742,1838892,1,,,
379,c,2004790,1838910,1,,,
380,a,188292,1838925,1,,,
381,f,2756659,1838934,1,,,
382,f,21701,1838943,1,,,
383,d,27171404,1838952,1,,,
384,c,21965,1838962,1,,,
385,e,66136,1838970,1,,,
386,f,1118769,1838980,1,,,
387,d,5097508,1838994,1,,,
388,b,2975253,1839003,1,,,
389,f,487231,1839011,1,,,
390,d,15817742,1839020,1,,,
391,a,6459656,1839029,1,,,
392,c,173134,1892825,1,,,
393,d,288202,1892933,1,,,
394,f,1256,1892950,1,,,
395,b,8796,1893036,1,,,
396,f,1570685,1893136,1,,,
397,f,1267837,1900657,2,,,
398,c,38626,1900661,2,,,
399,f,289043,1900666,2,,,
400,a,9412937,1900669,2,,,
401,b,45972,1900676,2,,,
402,e,50674,1900719,2,,,
403,d,12958633,1900746,2,,,
404,d,49616,1900755,2,,,
405,d,28883676,1900788,2,,,
406,d,18493,1900806,2,,,
407,e,8007,1900833,2,,,
408,e,727404,1900934,2,,,
409,f,26421,1901098,2,,,
410,c,101885,1911117,4,,,
411,d,302770,1911136,4,,,
412,d,5082434,1911159,4,,,
413,a,37163,1986341,1,,,
414,b,225266,2058781,4,,,
415,f,147841,2058785,4,,,
416,d,2390672,2058789,4,,,
417,f,447670,2058800,4,,,
